,hcpcs_code,average_medicare_allowed_amt,year
0,28730,725.4255832165908,2017
1,29825,252.13464797545936,2017
2,33264,947.9566607728683,2017
3,64575,3316.2834912066664,2017
4,69930,2987.475094800769,2017
5,28730,671.2706840543888,2016
6,29825,268.1062213151708,2016
7,33264,834.2997311609093,2016
8,64575,880.0362985349999,2016
9,69930,3268.6453469622934,2016
10,28730,635.6932444561667,2015
11,29825,301.39981599482053,2015
12,33264,822.2473572667805,2015
13,64575,848.6692548300001,2015
14,69930,2779.01906161262,2015
